ROFL,,
LMAO,,
TRGD,,
NYN,Nyan cat,ROFL
UPOP,Unpopular opinion puffin,ROFL
TDH,It's too damn high,ROFL
OAG ,Overly attached girlfriend,ROFL
PLR,Philosoraptor,ROFL
PEPE,Pepe the frog,ROFL
PSC,Persian cat,ROFL
TRL,Troll face,ROFL
ARD,Acrid face,ROFL
IST,Insouciant face,ROFL
LVD,Livid face,ROFL
BLS,Blithsome face,ROFL
DMD,Damned face,ROFL
CHRD,Chagrined face,ROFL
FUH,FUHHH face,ROFL
CRY,Lachrymose face,ROFL
CMB,Indepatigable face,ROFL
GJT,Sanguine(Thumbs Up),ROFL
FAP,Mastubatory,ROFL
MEG,Me Gusta,ROFL
OBL,oblivious ,ROFL
APE,Apoplectic,ROFL
RAP,Rapacious,ROFL
FOC,Assduous,ROFL
ENR,Enraptured,ROFL
INI,Intimical,ROFL
WHO,Whoms't,LMAO
BRN,Brain Enlightenment,LMAO
BLB,Bad luck brian,ROFL
RHG,Really high guy,ROFL
UAI,United Airlines,TRGD
DJT,Donald J. Trump,LMAO
WSK,3rd world success kid,ROFL
AMT,Am I the only one,ROFL
CFB,Confession bear,ROFL
FWP,First world problem,ROFL
MYP,Mayonaise patrick,ROFL
MXM,Matrix morpheus,ROFL
ODNS,One does not simply,ROFL
OMM,Overly manly man,LMAO
TMM,Shut up and take my money,LMAO
YUN,Y U NO,ROFL
YTBG,Yeah That'd be great,LMAO
DGP,How would a dog wear pants,LMAO
SHRK,Shrek is love shrek is life,TRGD
CTA,Content aware,TRGD
NIC,Nic Cage,LMAO
WED,Weed,TRGD
DMLG,Dank Major League Gaming,TRGD
RMT,Painting text,TRGD
TNC,Try not to cough,TRGD
GYE,Glowing eyes,TRGD
NSF,Not sure fry,LMAO
VPN,Vape nation,TRGD
MJK,Major key alert,LMAO
FEM,Triggered Feminist,TRGD
MAG,Make america great again,LMAO
CHK,Chuck norris,LMAO
ITI,Itilian does blank,LMAO
DOGE,The DOGE,ROFL
DOG ,Doggo,LMAO
WAN,We are number one,TRGD
GMC,Grumpy cat,ROFL
GBN,Lord gaben,LMAO
LNY,Lenny face,TRGD
DBR,Do a barell roll,LMAO
NDT,Neil deGrasse Tyson,LMAO
YBP,Yao Ming face,ROFL
AIK,Arrow in the knee,LMAO
OKG,Okay guy,LMAO
DRP,Derp,LMAO
DTB,Dat Boi,TRGD
HRB,Harambe,LMAO
BRZ,Brazzers,LMAO
DKB,Dick Butt,TRGD
CHA,Challenge Accepted Stick,ROFL
PDO,PedoBear,TRGD
FCP,Facepalm,LMAO
CSH,Cash Me Ousside,TRGD
SEN,Senpai,TRGD
CKI,The cake is a lie,LMAO
LOL,Lol guy,ROFL
NKI,Unbreakable nokia,ROFL
MOG,Mother of god,ROFL
ATT,Apache Attack Helicopter,TRGD
MUR,Murica',ROFL
LRY,Leeeroy Jenkins,ROFL
RKR,Rick Roll,ROFL
LZR,Imma Firin Mah LAZOR,ROFL
JHC,John Cena,LMAO
TRD,Trash Dove,LMAO
THO,Thanks Obama,LMAO
BYS,Brace yourself,LMAO
EBO,Ebola,ROFL
YEE,Yee,TRGD
CFT,Confused Travolta,LMAO
WIT,What in tarnation,TRGD
SPD,Spoderman,LMAO
RLS,Roll safe,LMAO
DAB,Dab,LMAO
RIP,RIP,LMAO
